[2025-04-18 01:09:08] [INFO] Starting Improved Spotted Hyena Optimizer
[2025-04-18 01:09:08] [INFO] Iteration 69, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 70, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 71, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 72, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 73, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 74, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 75, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 76, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 77, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 78, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 79, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 80, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 81, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 82, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 83, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 84, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 85, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 86, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 87, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 88, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 89, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 90, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 91, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 92, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 93, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 94, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 95, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 96, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 97, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 98, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Iteration 99, Best fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Improved SHO completed
[2025-04-18 01:09:08] [INFO] Best solution fitness: 56337.0
[2025-04-18 01:09:08] [INFO] SHO completed with fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Final optimized solution fitness: 56337.0
[2025-04-18 01:09:08] [INFO] Starting Improved Spotted Hyena Optimizer
[2025-04-18 01:09:08] [INFO] Max iterations: 100
[2025-04-18 01:09:08] [INFO] Initialized population with 1 hyenas
[2025-04-18 01:09:08] [INFO] Best initial hyena fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 0, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 1, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 2, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 3, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 4, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 5, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 6, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 7, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 8, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 9, Best fitness: 56183.0
